Timestamp,Time_s,X,Y,Z,Acceleration_Magnitude,Step,Minute,,,,
07:26.5,8.8246,2.9020503,-7.5859504,-1.5160501,8.262381456,0,1,,,,
07:26.7,8.9424,7.8450003,-8.493,-0.65205002,11.58016614,0,1,,,,
07:26.8,9.0559,13.16205,-9.5179501,2.01495,16.3673748,1,1,,,,
07:26.9,9.1668,12.118051,-6.9169502,2.319,14.14457921,0,1,,,,
07:27.0,9.2763,9.9649506,-5.5549502,3.0619502,11.81241936,0,1,,,,
07:27.1,9.3878,15.79695,-2.01195,3.9169502,16.39920946,1,1,,,,
07:27.2,9.5153,11.80395,-10.821,2.559,16.2165273,0,1,,,,
07:27.3,9.6281,8.1349506,-10.222051,-1.8829501,13.19898667,0,1,,,,
07:27.5,9.7515,8.3080502,-10.186951,-1.81305,13.26969552,1,1,,,,
07:27.6,9.8789,3.4170001,-5.6050501,-1.8420001,6.818023223,0,1,,,,
07:27.7,10.0078,12.99495,-3.8539503,5.3970003,14.5893547,1,1,,,,
07:27.8,10.1291,9.2680502,-2.8390501,6.1080003,11.45707762,0,1,,,,
07:28.0,10.2419,8.8900509,-0.67800003,5.8260002,10.65058531,0,1,,,,
07:28.1,10.352,8.8939505,0.83400005,4.4629502,9.985781695,0,1,,,,
07:28.2,10.4754,12.097051,1.4140501,6.0510001,13.59973466,1,1,,,,
07:28.3,10.5863,11.139001,0.61995006,4.0050001,11.8533416,0,1,,,,
07:28.4,10.7164,7.3690505,-0.15105,1.38495,7.49958718,0,1,,,,
07:28.6,10.8503,5.7520504,-2.49405,-0.039000001,6.269600482,0,1,,,,
07:28.7,10.9606,7.8790503,-6.5370002,-1.164,10.30372269,0,1,,,,
07:28.8,11.0718,11.31105,-7.3099504,3.3079503,13.86786797,1,1,,,,
07:28.9,11.2045,11.554951,-4.7620502,0.38205001,12.50359856,0,1,,,,
07:29.0,11.3129,11.685,-4.2490501,1.4500501,12.51783915,0,1,,,,
07:29.1,11.4242,13.464001,-4.2660003,2.41995,14.32948846,0,1,,,,
07:29.3,11.5583,14.26605,-3.5620501,2.7070501,14.95113721,1,1,,,,
07:29.4,11.6925,10.03905,-8.6029501,1.31805,13.28647926,0,1,,,,
07:29.5,11.8022,6.3409505,-6.6900005,-0.20205002,9.219793064,0,1,,,,
07:29.6,11.9122,6.2140503,-5.3200502,-1.74405,8.364153613,0,1,,,,
07:29.7,12.0229,5.2440004,-7.7359505,-1.26705,9.431324723,0,1,,,,
07:29.9,12.1425,10.33605,-7.5619502,3.7080002,13.33290238,0,1,,,,
07:30.0,12.2532,13.63695,-4.7569504,1.7970001,14.55418125,1,1,,,,
07:30.1,12.3761,11.059951,-3.0469501,2.9640002,11.84870112,0,1,,,,
07:30.2,12.509,10.461,-1.8379501,4.5679502,11.56186622,0,1,,,,
07:30.3,12.6295,17.574001,-0.90600002,4.5439501,18.17453795,1,1,,,,
07:30.5,12.7396,12.774,-5.6239505,1.07895,13.99885811,0,1,,,,
07:30.6,12.8499,7.9200006,-7.0440001,2.8129501,10.96617687,0,1,,,,
07:30.7,12.9607,7.8450003,-4.6090503,0.51000005,9.113038704,0,1,,,,
07:30.8,13.0701,7.8670502,-4.8619504,-0.73305005,9.27719801,0,1,,,,
07:30.9,13.2006,10.942051,-1.6840501,1.2199501,11.1378985,0,1,,,,
07:31.0,13.313,10.08705,0.29895002,1.0669501,10.14772543,0,1,,,,
07:31.2,13.4382,10.97595,2.1970501,3.7750502,11.81310762,0,1,,,,
07:31.3,13.549,9.6540003,2.9950502,6.2299504,11.873598,0,1,,,,
07:31.4,13.6726,12.184951,0.76200002,10.57695,16.15318997,1,1,,,,
07:31.5,13.8092,12.604051,-1.2220501,6.3310504,14.15760245,0,1,,,,
07:31.6,13.9238,6.4969501,-0.97095007,4.0410004,7.712508598,0,1,,,,
07:31.8,14.0369,9.6390009,1.3609501,4.3770003,10.67336194,0,1,,,,
07:31.9,14.158,5.9610004,3.2170501,8.4720001,10.84701447,0,1,,,,
07:32.0,14.2687,3.6160502,3.4660501,6.7620001,8.415103546,0,1,,,,
07:32.1,14.3788,2.77005,3.2940001,8.415,9.451763786,0,1,,,,
07:32.2,14.49,1.6020001,2.8219502,8.9850006,9.553012249,0,1,,,,
07:32.3,14.6009,3.3640501,3.7900503,7.0420504,8.675931546,0,1,,,,
07:32.4,14.7192,3.3910501,3.6010501,9.4489508,10.6653389,0,1,,,,
07:32.6,14.8443,3.0600002,3.7900503,10.45995,11.53857168,0,1,,,,
07:32.7,14.9571,1.899,4.5439501,9.3559504,10.57296039,0,1,,,,
07:32.8,15.0673,3.7690501,4.5829501,8.4720001,10.34330489,0,1,,,,
07:32.9,15.1769,1.5919501,4.5589504,8.2039499,9.519618051,0,1,,,,
07:33.0,15.2867,2.0539501,3.8260503,9.243,10.21226816,0,1,,,,
07:33.1,15.3979,2.2990501,3.5310001,7.5600004,8.654894518,0,1,,,,
07:33.2,15.5091,4.8010502,4.2900004,7.3300505,9.756219903,0,1,,,,
07:33.4,15.6408,3.6610501,4.9510503,8.1389999,10.20585647,0,1,,,,
07:33.5,15.7534,1.7500501,6.4459505,8.0670004,10.47327306,0,1,,,,
07:33.6,15.8637,1.39995,6.2059503,6.3480005,8.987257061,0,1,,,,
07:33.7,15.9744,-0.31095001,3.5890501,7.3969502,8.227566031,0,1,,,,
07:33.8,16.1001,2.0760002,2.5159502,9.1120501,9.678287001,0,1,,,,
07:33.9,16.2327,2.5429502,4.2780004,8.3640003,9.732645281,0,1,,,,
07:34.1,16.362,2.07795,3.5809503,9.7630501,10.60463241,0,1,,,,
07:34.2,16.4786,1.3260001,2.1559501,12.879001,13.12535957,1,1,,,,
07:34.3,16.591,2.7970502,0.91800004,11.097,11.4808372,0,1,,,,
07:34.4,16.6998,0.55695003,3.0430501,5.9530501,6.708886103,0,1,,,,
07:34.5,16.8077,0.21000001,2.8920002,10.611,11.00004937,0,1,,,,
07:34.6,16.9163,-0.36105001,3.6750002,9.9090004,10.57469964,0,1,,,,
07:34.7,17.0242,-0.48300001,2.4649501,12.012001,12.2718147,1,1,,,,
07:34.8,17.133,0.63195002,4.0650001,7.2409501,8.327961635,0,1,,,,
07:35.0,17.241,1.0159501,2.6880002,9.1140003,9.556280717,0,1,,,,
07:35.1,17.3652,1.6140001,2.1400502,10.029,10.38102366,0,1,,,,
07:35.2,17.4741,3.1390502,2.4370501,9.2170506,10.03727409,0,1,,,,
07:35.3,17.602,0.77505004,-0.10095,11.923051,11.94864171,0,1,,,,
07:35.4,17.7334,-0.59805006,0.94200003,7.1170502,7.203987193,0,1,,,,
07:35.6,17.8633,-1.8199501,3.0810001,9.3010502,9.965656767,0,1,,,,
07:35.7,17.9739,-2.11695,3.4830003,12.46695,13.11631086,0,1,,,,
07:35.8,18.0831,-1.554,1.1580001,14.056951,14.18991725,1,1,,,,
07:35.9,18.1958,2.0950501,3.0660002,9.7800007,10.46126215,0,1,,,,
07:36.0,18.3249,0.55305004,3.1380002,6.3190503,7.076956005,0,1,,,,
07:36.2,18.45,0.64095002,2.5159502,9.6910505,10.03281028,0,1,,,,
07:36.3,18.5641,1.6879501,3.3010502,8.1660004,8.968259056,0,1,,,,
07:36.4,18.6748,-1.09395,2.3100002,12.40005,12.66072934,1,1,,,,
